L_S,vl1,vl2
360.0,0.0,0.0
0.514709,946.819,1026.47
1.02858,949.047,1030.32
1.54161,946.547,1035.15
2.05381,944.267,1036.0
2.56517,943.198,1035.78
3.07571,939.286,1023.1
3.58543,934.74,1013.58
4.09433,933.522,1033.6
4.60242,932.017,1058.45
5.1097,937.661,1043.46
5.61618,932.649,1055.23
6.12186,937.05,1052.42
6.62675,939.539,1050.7
7.13085,941.614,1052.5
7.63416,941.545,1061.27
8.1367,939.761,1060.53
8.63847,941.529,1042.71
9.13947,948.315,1051.23
9.63971,944.044,1038.0
10.1392,943.325,1050.09
10.6379,950.761,1072.2
11.1359,944.495,1059.91
11.6331,942.428,1049.9
12.1296,950.484,1062.45
12.6254,943.057,1051.42
13.1204,941.995,1033.09
13.6148,948.359,1057.76
14.1084,948.095,1064.21
14.6013,942.059,1060.37
15.0934,945.323,1061.57
15.5849,950.118,1071.25
16.0757,941.605,1051.52
16.5658,943.943,1043.77
17.0552,953.223,1060.94
17.544,945.781,1063.26
18.032,941.469,1047.98
18.5194,945.976,1051.97
19.0062,942.14,1069.4
19.4923,940.513,1056.53
19.9777,944.575,1045.52
20.4625,947.328,1047.06
20.9466,944.187,1050.44
21.4301,942.029,1048.75
21.913,944.146,1044.95
22.3952,942.767,1049.67
22.8769,941.736,1047.99
23.3579,943.152,1040.01
23.8383,943.558,1048.59
24.3181,941.176,1043.43
24.7973,940.92,1044.19
25.276,939.853,1041.38
25.754,939.507,1053.21
26.2315,938.878,1054.37
26.7083,939.031,1052.59
27.1847,939.138,1053.2
27.6604,939.075,1054.2
28.1356,936.638,1048.15
28.6103,933.651,1032.6
29.0843,933.388,1023.35
29.5579,931.124,1026.86
30.0309,930.319,1024.92
30.5034,930.618,1025.99
30.9754,928.122,1023.29
31.4468,928.176,1025.78
31.9178,928.801,1024.07
32.3882,928.701,1033.12
32.8582,927.68,1039.29
33.3276,927.529,1044.92
33.7965,927.934,1044.72
34.265,928.194,1046.3
34.733,928.773,1046.33
35.2005,927.152,1047.02
35.6676,924.775,1047.63
36.1341,925.106,1043.69
36.6003,924.435,1036.16
37.066,923.284,1028.98
37.5312,922.258,1024.16
37.996,923.3,1019.05
38.4604,921.648,1025.05
38.9243,920.546,1028.15
39.3878,918.473,1023.8
39.8509,917.795,1024.38
40.3136,918.953,1024.69
40.7759,917.899,1024.68
41.2378,916.366,1025.21
41.6993,915.518,1022.77
42.1604,914.053,1018.9
42.6211,912.314,1013.16
43.0815,913.237,1012.33
43.5415,912.901,1013.07
44.0011,912.232,1015.28
44.4604,910.467,1017.36
44.9193,908.554,1014.42
45.3778,908.9,1009.68
45.8361,905.822,1005.84
46.2939,905.859,1003.71
46.7515,904.604,1003.55
47.2087,903.196,1005.35
47.6656,901.83,1005.49
48.1222,900.094,1003.25
48.5785,900.512,998.572
49.0345,898.637,998.106
49.4902,897.313,996.644
49.9456,895.854,994.051
50.4007,895.347,993.718
50.8556,893.539,998.076
51.3102,892.939,999.424
51.7645,892.251,996.463
52.2185,890.742,992.562
52.6723,889.528,987.548
53.1258,887.663,989.201
53.5791,887.025,993.005
54.0322,885.042,992.117
54.485,884.516,986.801
54.9376,882.798,986.325
55.3899,881.402,989.955
55.8421,879.734,988.48
56.294,879.223,983.213
56.7458,876.542,978.807
57.1973,875.704,976.005
57.6486,874.909,978.009
58.0998,874.324,980.118
58.5508,874.73,979.736
59.0016,875.175,979.387
59.4522,874.304,979.207
59.9026,870.873,981.767
60.3529,869.505,981.05
60.8031,867.672,982.225
61.2531,867.781,980.306
61.7029,867.717,975.766
62.1527,867.002,968.75
62.6023,864.5,965.318
63.0517,864.507,963.649
63.5011,863.476,957.052
63.9503,861.478,954.144
64.3994,861.002,957.24
64.8484,861.357,957.583
65.2973,859.686,955.91
65.7462,858.053,961.063
66.1949,856.533,962.904
66.6436,854.851,962.659
67.0922,852.651,960.423
67.5407,851.496,954.453
67.9891,852.153,948.71
68.4375,851.399,948.353
68.8859,850.549,950.159
69.3342,849.145,948.505
69.7824,848.191,948.446
70.2307,847.437,945.761
70.6789,847.009,941.986
71.127,844.574,938.297
71.5752,843.724,934.744
72.0233,841.584,934.025
72.4715,841.678,934.015
72.9196,839.876,932.055
73.3677,839.4,930.48
73.8159,838.01,928.836
74.264,836.798,928.32
74.7122,834.732,926.672
75.1604,833.348,925.286
75.6087,831.439,925.556
76.0569,830.325,924.759
76.5053,829.386,921.682
76.9537,827.735,916.955
77.4021,827.172,916.497
77.8506,825.949,915.427
78.2991,826.188,912.549
78.7478,824.395,910.674
79.1965,822.597,909.999
79.6453,820.714,909.312
80.0941,819.598,907.937
80.5431,818.066,907.031
80.9922,817.356,905.909
81.4414,815.19,904.514
81.8907,813.895,901.861
82.3401,812.287,901.311
82.7896,810.862,899.332
83.2393,809.916,896.507
83.6891,809.07,896.265
84.139,808.008,894.023
84.5891,807.192,891.501
85.0394,804.872,887.87
85.4898,803.785,888.198
85.9403,802.813,887.353
86.391,801.749,888.927
86.8419,800.652,889.239
87.293,798.789,888.148
87.7443,797.977,885.862
88.1957,796.123,882.722
88.6474,795.121,879.499
89.0992,793.371,877.516
89.5513,792.3,879.769
90.0036,790.556,878.951
90.4561,789.414,877.221
90.9088,787.423,877.464
91.3618,786.247,874.124
91.8149,784.937,872.504
92.2684,783.793,871.844
92.7221,782.716,869.64
93.176,781.484,868.255
93.6302,780.435,866.931
94.0846,778.628,866.031
94.5394,777.6,863.976
94.9944,776.093,862.701
95.4497,775.198,860.349
95.9053,773.237,858.329
96.3611,771.677,858.505
96.8173,770.087,856.089
97.2738,769.611,852.334
97.7305,768.224,849.883
98.1876,766.509,850.482
98.6451,765.097,849.372
99.1028,763.88,847.424
99.5609,762.485,846.341
100.019,761.544,846.352
100.478,759.917,845.316
100.937,758.285,844.994
101.397,756.81,844.421
101.857,755.34,841.406
102.317,754.603,840.662
102.777,752.638,838.177
103.238,751.72,836.145
103.7,750.503,832.598
104.161,749.394,834.044
104.623,747.777,835.161
105.086,746.944,832.989
105.549,745.843,829.48
106.012,744.431,827.541
106.476,742.998,826.778
106.94,741.548,826.487
107.405,739.754,825.631
107.87,738.676,823.632
108.335,737.364,822.301
108.801,735.581,821.402
109.268,734.689,818.562
109.735,733.386,815.643
110.202,732.053,816.749
110.67,731.08,816.485
111.138,729.992,815.797
111.607,728.857,814.171
112.076,727.295,812.936
112.546,726.418,808.642
113.016,725.265,804.282
113.487,724.141,805.4
113.958,723.137,805.997
114.43,721.658,805.897
114.902,719.874,804.486
115.375,718.298,802.066
115.848,717.434,799.715
116.322,716.8,796.918
116.796,716.205,796.234
117.271,715.01,797.959
117.747,714.153,796.067
118.223,712.583,797.439
118.7,711.103,798.62
119.177,710.156,799.866
119.655,708.435,801.054
120.133,707.657,800.522
120.612,706.524,798.198
121.092,705.053,796.617
121.572,704.662,792.25
122.053,704.291,789.668
122.534,702.906,786.994
123.016,701.677,784.606
123.499,700.878,783.617
123.982,700.842,782.113
124.466,700.577,783.598
124.95,699.452,785.142
125.435,698.858,784.605
125.921,696.583,782.219
126.408,695.598,780.382
126.895,693.86,779.039
127.383,692.476,777.437
127.871,691.854,776.408
128.36,691.571,779.707
128.85,692.796,777.6
129.34,691.289,776.115
129.832,690.047,775.215
130.324,689.659,774.937
130.816,689.064,775.169
131.309,688.911,774.163
131.803,689.321,772.138
132.298,688.13,770.812
132.794,686.597,766.197
133.29,684.303,767.01
133.787,682.588,768.658
134.285,682.328,766.512
134.783,681.952,766.54
135.282,681.175,765.795
135.782,681.173,767.641
136.283,680.656,766.896
136.784,678.883,761.859
137.286,676.088,760.093
137.789,677.071,762.141
138.293,678.566,764.931
138.798,678.825,765.866
139.303,678.542,767.13
139.809,677.028,765.033
140.316,675.181,760.64
140.824,673.724,758.27
141.333,671.706,757.277
141.842,669.857,755.294
142.352,668.264,755.012
142.863,666.818,766.985
143.375,667.105,766.881
143.888,673.256,750.785
144.401,674.983,754.362
144.916,671.961,757.123
145.431,669.699,757.215
145.947,669.058,758.695
146.464,670.119,760.922
146.982,668.087,758.209
147.5,664.561,751.597
148.02,662.844,746.62
148.54,668.977,748.185
149.061,667.849,750.16
149.584,669.801,741.89
150.107,669.859,728.486
150.631,668.096,736.087
151.155,667.55,732.26
151.681,667.677,737.251
152.208,668.2,755.361
152.735,666.482,752.431
153.264,665.655,744.028
153.793,667.632,750.076
154.323,667.14,753.497
154.855,667.357,754.566
155.387,667.819,750.545
155.92,667.454,743.708
156.454,668.703,738.909
156.989,668.26,737.441
157.524,667.959,735.125
158.061,668.29,734.217
158.599,667.76,733.321
159.138,667.504,729.474
159.677,667.981,728.558
160.218,668.656,724.889
160.76,670.337,729.134
161.302,671.443,736.711
161.846,671.115,746.487
162.39,669.95,753.542
162.935,671.255,752.096
163.482,673.214,753.677
164.029,674.073,745.777
164.577,674.831,746.333
165.127,674.243,751.831
165.677,674.087,752.024
166.228,674.495,752.597
166.781,675.602,757.811
167.334,675.372,758.217
167.888,674.973,753.671
168.443,679.038,752.85
169.0,678.223,758.358
169.557,679.322,756.95
170.115,680.357,752.324
170.674,679.69,755.754
171.234,680.494,759.99
171.796,682.144,765.18
172.358,681.543,768.946
172.921,682.784,767.934
173.485,685.138,760.193
174.05,686.804,761.653
174.617,689.456,776.873
175.184,688.473,769.867
175.752,689.112,761.622
176.321,690.64,781.805
176.892,691.737,777.967
177.463,691.845,767.818
178.035,694.01,780.885
178.608,696.056,776.006
179.183,695.594,789.002
179.758,697.946,787.134
